Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Price,Length,Width,Depth
212001-432,CUSHION,1.0,VS2,K,VG,EX,VG,ST,2680.12,5.5585938,5.5195312,3.8105469
211007-686,CUSHION,1.2001953,SI2,S-T,EX,EX,EX,M,2680.62,6.4609375,5.5898438,3.7792969
211007-715,CUSHION,1.2001953,VVS1,W-X,EX,EX,VG,F,2680.62,5.890625,5.8203125,3.9492188
1593495,CUSHION,0.91015625,VS2,J,EX,EX,EX,N,2680.97,6.0703125,5.1992188,3.4804688
1636053,CUSHION,0.77001953,VS2,H,EX,EX,VG,N,2682.54,5.7304688,4.9296875,3.3398438
1645990,CUSHION,0.8100586,SI1,F,EX,EX,VG,N,2683.3,5.4882812,5.0703125,3.4394531
210041-545,CUSHION,1.0302734,VS2,W-X,EX,EX,VG,N,2683.59,5.6601562,5.6015625,3.6601562
1626222,CUSHION,0.8300781,VS2,I,EX,EX,EX,N,2683.75,5.4414062,5.1992188,3.5195312
1645982,CUSHION,0.8100586,VS1,H,EX,EX,VG,F,2684.81,5.3398438,5.0585938,3.4296875
1665782,CUSHION,0.7998047,SI1,G,VG,EX,VG,N,2685.07,5.3398438,5.0,3.4804688
200585-44,CUSHION,1.5996094,SI1,U-V,EX,EX,VG,N,2686.39,6.640625,6.28125,4.2617188
1645993,CUSHION,0.7998047,SI1,G,EX,EX,EX,N,2689.04,5.4296875,5.0703125,3.4199219
1667143,CUSHION,0.7001953,VS2,D,VG,EX,VG,M,2689.18,5.5,4.640625,3.25
1667135,CUSHION,0.7998047,VS2,H,EX,EX,VG,F,2690.38,5.5117188,5.0195312,3.4003906
1606774,CUSHION,0.7998047,SI1,E,EX,EX,VG,N,2696.13,5.3984375,5.1289062,3.4609375
213013-369,CUSHION,1.0302734,VS2,G,EX,EX,EX,VS,4130.21,6.2617188,5.3398438,3.6191406
200776-18,CUSHION,1.0,VS1,H,EX,EX,EX,M,4131.98,5.9414062,5.6601562,3.7402344
Eco Diamond LGC10129,CUSHION,1.5800781,VS1,I,VG,VG,VG,N,4132.68,7.0585938,6.7382812,4.25
200616-38,CUSHION,1.2001953,VVS2,K,EX,EX,EX,N,4133.16,6.5390625,5.6796875,3.859375
210344-212,CUSHION,1.0,VS1,I,EX,EX,VG,N,4145.44,6.1914062,5.25,3.5703125
1669446,CUSHION,0.89990234,VS2,G,EX,EX,EX,N,4147.44,5.4296875,5.3007812,3.5996094
211017-133,CUSHION,1.5097656,SI2,K,EX,EX,EX,N,4148.72,6.7695312,6.1484375,4.1484375
212084-37,CUSHION,1.0,VS1,I,VG,EX,VG,N,4149.34,5.609375,5.3007812,3.7109375
201249-124,CUSHION,1.2099609,SI2,I,EX,EX,VG,N,4154.59,6.1796875,5.8710938,3.9804688
213066-458,CUSHION,0.9902344,SI1,G,EX,EX,VG,N,4156.69,5.5898438,5.5585938,3.7597656
200442-389,CUSHION,1.7001953,SI2,FANCY,EX,VG,VG,M,4161.09,6.8398438,6.4101562,4.3515625
210020-139,CUSHION,0.95996094,VS2,G,EX,EX,EX,M,4166.86,5.921875,5.6289062,3.5195312
211105-441,CUSHION,1.0,SI1,H,EX,EX,VG,N,4168.5,5.7695312,5.5195312,3.75
Eco Diamond LGC10130,CUSHION,1.5195312,SI1,H,VG,VG,VG,N,4170.27,6.8085938,6.3710938,4.3789062
200771-179,CUSHION,1.0898438,SI1,H,EX,VG,VG,F,4171.01,6.3984375,5.4882812,3.7207031
201221-269,CUSHION,1.0,VVS2,E,EX,EX,VG,F,6119.9,5.6289062,5.6015625,3.7792969
211083-124,CUSHION,1.0,VS1,E,EX,VG,VG,N,6137.89,6.2304688,5.3789062,3.640625
201221-213,CUSHION,1.0498047,VVS1,F,EX,EX,EX,M,6150.68,5.71875,5.671875,3.8203125
